Total Nacional;Comunidades y Ciudades Autónomas;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;13 Madrid, Comunidad de;>150;Índice;2017;102,857
Total Nacional;13 Madrid, Comunidad de;>150;Índice;2016;101,085
Total Nacional;13 Madrid, Comunidad de;>150;Índice;2015;100,000
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2021;1,2
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2020;0,0
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2019;2,2
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2018;1,9
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2017;1,8
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2016;1,1
Total Nacional;13 Madrid, Comunidad de;>150;Variación anual;2015;1,1
