,Direction,Price,m2,Floor,Room,Description
0,"
Piso en Lavapiés-Embajadores, Madrid
",1.400€/mes,71 m²,Planta 5ª exterior con ascensor,2 hab.,"
Piso exterior muy luminoso y tranquilo en calle Ave María, 5ª planta con ascensor, 2 balcones con preciosas vistas (con total aislamiento térmico y sonoro), edificio completamente rehabilitado, paredes lisas, suelo de madera de haya, aire acondicionado frío/calor, calefacción individual, cocina tota
"
1,"
Piso en Pavia, Palacio, Madrid
",2.800€/mes,134 m²,Planta 4ª exterior con ascensor,2 hab.,"
En alquiler y/o a la venta una propiedad espectacular en un edificio histórico. Exclusiva vivienda frente al Palacio Real y en plena Plaza de Oriente, con vistas a los Jardines de Sabatini, y al Palacio.
Recomendamos VER el TOUR VITUAL 3D para identificar todas las estancias.
Lista para entrar a
"
2,"
Piso en calle de Manuela Malasaña, 28, Malasaña-Universidad, Madrid
",850€/mes,35 m²,Planta 2ª interior con ascensor,1 hab.,"
Bonito apartamento amueblado en el corazón del barrio de Malasaña a escasos metros de las estaciones del metro de Bilbao y San Bernardo con numerosos supermercados en la zona, bares, restaurantes, teatros y cines.
El apartamento se encuentra en un precioso edificio singular rehabilitado de 1.906. E
"
3,"
Piso en calle Corral de Almaguer, 12, Ensanche de Vallecas - La Gavia, Madrid
",799€/mes,38 m²,Planta 1ª exterior con ascensor,1 hab.,"
¡Sin comisiones de agencia!


Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA. (*sujeto a condiciones)
Moderna urbanización privada en el Ensanche de Vallecas. El recinto cuenta con una piscina abierta, grandes espacios comunes y un parque infantil propio.
Bonitas vivienda
"
4,"
Dúplex en calle de Agustín Durán, 29, Guindalera, Madrid
",1.800€/mes,135 m²,Bajo exterior sin ascensor,2 hab.,"
Alquilamos, como particulares (no lo gestiona una agencia inmobiliaria), un dúplex de diseño tipo loft, totalmente amueblado, a 5 minutos del metro Diego de León y del Hospital de la Princesa.
La vivienda está compuesta por dos plantas, con una superficie total de 120m² útiles y 135m² construidos,
"
5,"
Piso en avenida de Valdemarín, Valdemarín, Madrid
",2.750€/mes,180 m², exterior con ascensor,4 hab.,"
Fantástico bajo con terraza en Valdemarin
Engel & Völkers presenta en alquiler disponible inmediatamente totalmente pintado y vacío este espectacular bajo de 4 habitaciones en el corazón de Valdemarin-Aravaca. La vivienda cuenta con 180m2 + 150 de terraza cómodamente distribuidos en hall de entrada,
"
6,"
Piso en albadalejo, 46, Simancas, Madrid
",850€/mes,70 m²,Planta 4ª exterior con ascensor,1 hab.,"
Fantástico apartamento de 40 metros, un dormitorio independiente, en urbanización cerrada con todos los servicios (conserjería 24h, piscina, zonas verdes)
Completamente equipado, exterior, luminoso, 4a planta de 6, con ascensor. Trastero y plaza de garaje incluidos.
Barrio residencial a 10 min del
"
7,"
Piso en Argüelles, Madrid
",2.400€/mes,151 m²,Planta 1ª exterior con ascensor,4 hab.,"
Luminoso y amplio piso en Argüelles en alquiler
Posibilidad de amueblar parcialmente según necesidades del inquilino, para largas estancias. Engel & Völkers presenta esta encantadora propiedad de excelentes calidades, ubicada en una de las mejores zonas de Madrid, como es el elegante Barrio de Argüe
"
8,"
Piso en Chopera, Madrid
",1.070€/mes,45 m²,Planta 3ª exterior con ascensor,2 hab.,"
Propietario particular ofrece excelente inmueble ubicado en la zona privilegiada del Barrio de Chopera, Distrito de Arganzuela.
La vivienda se encuentra situada a 5 minutos a pie de Matadero Madrid, Madrid Río y de la estación de metro de Legazpi y a 20 minutos a pie de la estación de Atocha. El ba
"
9,"
Chalet pareado en Conde Orgaz-Piovera, Madrid
",4.800€/mes,448 m²,,5 hab.,"
Colomba Boutique Inmobiliaria alquila, Chalet no amueblado de alto standing, muy luminoso y soleado con 5 habitaciones y 5 baños.
Distribución:
Planta calle: Amplio hall de entrada con armario gabanero, aseo, salón con chimenea y comedor.
Cocina totalmente equipada, con office. Espacio para una m
"
10,"
Piso en carril del Conde, 81, Canillas, Madrid
",3.700€/mes,176 m²,Planta 2ª exterior con ascensor,4 hab.,"
DISTRIBUCIÓN:
Vivienda con 4 dormitorios y 3 cuartos de baño, bien distribuida, con amplios ventanales de suelo a techo, completamente orientada al sur y con ventilación cruzada por ventana en el salón que está orientada al oeste.
3 baños interiores con ventilación forzada constante: uno de ellos c
"
11,"
Piso en Conde Orgaz-Piovera, Madrid
",2.500€/mes,100 m²,Planta 4ª exterior con ascensor,3 hab.,"
Colomba Boutique Inmobiliaria, alquila EN EXCLUISIVA, piso amueblado con mucho encanto, vistas maravillosas vistas y altas calidades.
Urbanización construida en 2008, con altas calidades, y todos los servicios: piscina de 25m, pádel, gimnasio, sauna, jardines, zona de juegos para niños, ping-pong,
"
12,"
Piso en calle del Alcalde Sáinz de Baranda, 4, Ibiza, Madrid
",1.700€/mes,87 m²,Planta 3ª exterior con ascensor,3 hab.,"
¡ABSTENERSE AGENCIAS! Preciosa vivienda con vistas al parque de El Retiro. Se trata de un piso que consta de un amplio hall-recibidor con armario empotrado, salón-comedor con balcón a c/ Alcalde Sáinz de Baranda y cocina independiente equipada con electrodomésticos. 3 dormitorios y 1 baño grande. Es
"
13,"
Dúplex en San Juan Bautista, Madrid
",4.100€/mes,247 m²,Planta 4ª exterior con ascensor,4 hab.,"
EXCELENTE PISO REFORMADO ALTAS CALIDADES


Colomba Boutique Inmobiliaria, alquila, piso DUPLEX CON REFORMA INTEGRAL A ESTRENAR.
La vivienda es muy luminosa y todas las estancias son exteriores, salvo un baño y el aseo de cortesía. La distribución es la siguiente:
- PLANTA INFERIOR: vestíbulo-distribuidor desde el que se accede al amplio s
"
14,"
Piso en calle de la Ruda, Lavapiés-Embajadores, Madrid
",900€/mes,55 m²,Planta 1ª interior con ascensor,1 hab.,"
PENDIENTE REPORTAJE FOTOGRAFICO
DISPONIBLE NOVIEMBRE 2023
Se entrega en perfecto estado COCINA EQUIPADA
MEJOR VEN A VISITAR TE ENAMORARA
Si buscas larga duración, posibilidades.
¿CUANDO NOS VEMOS?
VEN A CONOCER este precioso y coqueto piso en el centro de Madrid.
En el barrio de Lavapies, uno d
"
15,"
Piso en Nuevos Ministerios-Ríos Rosas, Madrid
",2.800€/mes,157 m²,Planta 5ª exterior con ascensor,3 hab.,"
Piso de 3 dormitorios y 2 baños
Engel & Völkers presenta esta acogedora vivienda NO AMUEBLADA ubicada en el edificio Géminis I. Se trata de un piso exterior, que se distribuye en salón-comedor, cocina, 3 dormitorios y 2 baños. El hall de entrada da por un lado paso al amplio salón-comedor, y por otr
"
16,"
Piso en calle de la Hierbabuena, Berruguete, Madrid
",1.300€/mes,62 m²,Planta 3ª exterior con ascensor,2 hab.,"
Magnifica vivienda en alquiler de 2 dormitorios completamente amueblada y equipada, ubicada en la tercera planta de un edificio moderno de reciente construccion con orientacion este. Entre sus principales caracteristicas, destacamos su carpinteria exterior en aluminio lacado con cristal climalit y v
"
17,"
Piso en calle Alcalá, 84, Goya, Madrid
",5.800€/mes,120 m²,Planta 1ª exterior con ascensor,3 hab.,"
""Alquiler por meses"" ""No se cobra comisión de Agencia"" ""Suministros incluidos""
Espectacular apartamento de 3 habitaciones en el barrio de Salamanca, al lado del Parque del Retiro. Decoración original, contemporánea, mobiliario combinando estilo y confort. Está decorado en tonos neutros con toques de
"
18,"
Piso en calle de Villanueva, Recoletos, Madrid
",2.450€/mes,59 m²,Planta 4ª exterior con ascensor,1 hab.,"
ALQUILER POR MESES (MINIMO 1 MES)
PRECIO INLCUYE SUMINISTROS Y WIFI DE ALTA VELOCIDAD
RECIEN REFORMADO
Situado en Recoletos, cerca del PARQUE RETIRO, LA PUERTA DE ALCALA y los metros Retiro, Serrano, Velazquez.. . rodeado de los restaurantes y tiendas mas exclusivas de la ciudad, cuenta con salón-c
"
19,"
Piso en calle de Víctor Hugo, Chueca-Justicia, Madrid
",3.345€/mes,174 m²,Planta 2ª exterior con ascensor,2 hab.,"
Espectacular apartamento exterior de 2 dormitorios, en el Centro Histórico de Madrid


DISPONIBLE PARA ENTRADAS INMEDIATAS
** Precio variable:
Larga estancia (+ 9 meses) 3.345€/mes = 3.040, 90€ + 10% IVA
Media estancia (4-9 meses) 3.745€/mes = 3.404, 54€ + 10% IVA
Corta estancia (1-4 meses) 4.245€/mes = 3.859, 09€ + 10% IVA** Suministros incluidos en corta estancia
En el centro hist
"
20,"
Piso en calle de San Nazario, 1, Prosperidad, Madrid
",1.100€/mes,85 m²,Planta 2ª exterior con ascensor,2 hab.,"
Alquilo piso luminoso a un minuto del metro de Alfonso XIII.
Exterior. Consta de dos dormitorios (uno con vestidor), salón con terraza, cocina y baño.
Sin amueblar, con electrodomésticos (nevera, lavadora y microondas). Tiene armarios.
Ascensor y portero.
En una zona con todos los servicios y muy b
"
21,"
Piso en calle de Martínez, Berruguete, Madrid
",1.550€/mes,43 m²,Planta 1ª exterior con ascensor,1 hab.,"
Servicheck Alquila Piso por Temporada en Madrid!
Disponible a partir del 30 de Abril 2023!
Para mas información y visitas contactar con Diana Trujillo al 692_904_114 (También se atiende por WhatsApp)
Vivienda destinada a alquiler por temporada. Especialmente pensada para empresas o profesionales.
"
22,"
Piso en calle de Bremen, 3, Guindalera, Madrid
",2.150€/mes,70 m²,Bajo exterior sin ascensor,2 hab.,"
Piso recién reformado, con dos espaciosas habitaciones, cada una con baño en suite. Amplia cocina, salón y comedor. A un minuto caminando de la Av de Bruselas donde se encuentran todo tipo de servicios como Supermercados, Farmacias, Bancos, Restaurantes, entre otros. A 3 minutos caminando de la Esta
"
23,"
Estudio en Acacias, Madrid
",790€/mes,Bajo interior sin ascensor,,30 m²,"
Para más información preguntar por Pablo Martin al 602_250_267 (también se atiende por WhatsApp).
Se alquila pequeño estudio amueblado con cocina completa estilo americana, cuarto de baño y salón (habitación), falta el sofá cama, en caso de quererlo se coloca.
Ubicación inmejorable, en una de las
"
24,"
Piso en calle de Francos Rodríguez, 33, Bellas Vistas, Madrid
",1.350€/mes,70 m²,Planta 5ª exterior con ascensor,1 hab.,"
Piso amplio y muy luminoso, todo exterior, amueblado, portero físico, buenas calidades, suelo de madera de iroko, muy buen estado, calefacción central y aire acondicionado con bomba de calor. La vivienda consta de,
- Amplio salón comedor de 28m2, exterior y orientado a Sur, amueblado, con aire acon
"
25,"
Piso en calle Alejandro Casona, Peñagrande, Madrid
",1.400€/mes,85 m²,Planta 2ª exterior con ascensor,2 hab.,"
VIVIENDA exterior 75 metros útiles, distribuidos en dos dormitorios, con armarios empotrados, cuarto de baño con bañera, y aseo, salón amplio con terraza y vistas a la piscina, cancha de tenis, cocina amueblada a falta de la lavadora, terraza tendedero, recién pintado y suelos recién instados, bonit
"
26,"
Piso en calle la Rábida, 22, Bellas Vistas, Madrid
",1.700€/mes,130 m²,Planta 4ª exterior con ascensor,3 hab.,"
Particular, directamente sin comisiones. Piso de tres dormitorios y dos cuartos de baño completos, uno de ellos incluido en el dormitorio tipo suite. Todos los dormitorios tienen armarios empotrados y forrados. Cocina amueblada con electrodomésticos nuevos y con terraza tendedero. Salón comedor con
"
27,"
Piso en calle de Alejandro Morán, 8, Puerta Bonita, Madrid
",997€/mes,67 m²,Planta 1ª exterior sin ascensor,2 hab.,"
PARTICULAR-OPORTO. Sin comisión-REFORMA Integral hace 3 años. Amueblado. Disponibilidad inmediata.
Contacto preferible por Whatsapp
Salón con cocina americana, equipado con aire acondicionado, lavavajillas, horno, vitro, microondas.
2 habitaciones dobles, en una de ellas pequeña terraza muy agrada
"
28,"
Piso en Av. de Menéndez Pelayo, 67, Niño Jesús, Madrid
",1.850€/mes,82 m²,Planta 2ª exterior con ascensor,1 hab.,"
Para más viviendas como está, visita nuestra pagina web bepremiumrealestate. net (enlace al final del anuncio).
Be premium real estate ofrece en alquiler estupendo piso de diseño cerca al parque del Retiro, Madrid
La vivienda se distribuye en: amplio salón/comedor con grandes ventanales, cocina in
"
29,"
Piso en Sol, Madrid
",2.100€/mes,100 m²,Planta 5ª interior con ascensor,2 hab.,"
Piso en calle mayor a 100 de Sol. Dos habitaciones, salón con chimenea, cocina, comedor, cuatro de baño completo y aseo. Muy luminoso y tranquilo. Suelo y carpintería en madera noble de pino meli. Se entrega sin amieblar pero se puede negociar poner muebles. Cocina amueblada con electrodomésticos. P
"
