;anno;period;madrid
225;2021;Diciembre;
226;2022;Enero;
227;2022;Febrero;
228;2022;Marzo;
229;2022;Abril;
230;2022;Mayo;
231;2022;Junio;
232;2022;Julio;
233;2022;Agosto;
234;2022;Septiembre;
235;2022;Octubre;
236;2022;Noviembre;
237;2022;Diciembre;
238;2023;Enero;
239;2023;Febrero;
240;2023;Marzo;
241;2023;Abril;
242;2023;Mayo;
243;2023;Junio;
244;2023;Julio;
