,Direction,Price,m2,Floor,Room,Description
0,"
Estudio en calle de Tarragona, 36, Palos de Moguer, Madrid
",675€/mes,Planta 1ª interior con ascensor,1 minuto,25 m²,"
Estudio, cocina equipada con electrodomésticos. Suelos de tarima, puertas lacadas, ducha con mampara y termostático, aire acondicionado frío/ calor, sofá cama de matrimonio o bien mueble cama individual de 90. El inmueble se reformó por completo pues es un edificio singular de época. Tiene una super
"
1,"
Piso en paseo de Santa María de la Cabeza, Palos de Moguer, Madrid
",2.700€/mes,111 m²,Planta 1ª exterior con ascensor,3 hab.,"
Piso Reformado con Patio Privativo en el Centro de Madrid
Este espectacular piso, completamente reformado y amueblado a estrenar, se encuentra en una ubicación inmejorable: el Paseo de Santa María de la Cabeza, a solo 10 minutos a pie de la Estación de Atocha y el Museo Reina Sofía, en pleno corazó
"
2,"
Piso en calle Gran Via de Hortaleza, 5, Pinar del Rey, Madrid
",1.650€/mes,120 m²,Planta 2ª exterior con ascensor,3 hab.,"
Piscina de invierno y de verano, gimnasio, 2 pistas de padle, parque infantil, merendero exterior, vigilancia 24h. 1 plaza de garaje incluida en el precio.
"
3,"
Piso en calle del Conde de Xiquena, Chueca-Justicia, Madrid
",5.495€/mes,233 m²,Planta 4ª exterior con ascensor,2 hab.,"
MARAVILLOSO Y LUMINOSO APARTAMENRO DE 2 HABITACIONES CERCA DE COLÓN


DISPONIBLE PARA ENTRADAS A PARTIR DEL 15 DE NOVIEMBRE DE 2023
Estancia corta (1-4 meses) 5.495€/mes**Suministros incluidos en la estancia corta
En el maravilloso Barrio de Justicia, una de las zonas con más encanto de Madrid, situado en la 4ª planta de en un edificio de fachada clásica, encontramo
"
4,"
Piso en calle de José Gutiérrez Maroto, 3, Ensanche de Vallecas - La Gavia, Madrid
",900€/mes,67 m²,Planta 6ª exterior con ascensor,2 hab.,"
Piso en muy buen estado y muy soleado. Junto a Centro Comercial La Gavia y Metro cercano.
No se admiten mascotas.
Bien comunicado con M-45 y Carretera Valencia.
"
5,"
Ático en calle del Olvido, Almendrales, Madrid
",1.650€/mes,70 m²,Planta 2ª exterior sin ascensor,3 hab.,"
Alquiler por temporadas
""VIVIENDA A ESTRENAR"" SE ENCUENTRA SIN MUEBLES CON LA COCINA EQUIPADA en un entorno confortable.
-Alquiler (TEMPORAL).
-Mascota: No.
-Para visitas presenciales, preguntar por Emiliano Correa al 602_250_283 en el caso de no poder atenderte (También se atiende mensaje por Wh
"
6,"
Piso en calle Topete, 11, Bellas Vistas, Madrid
",2.500€/mes,58 m²,Planta 1ª exterior con ascensor,3 hab.,"
ALQUILER TEMPORAL! 1 A 11 MESES. Para entrar a vivir! Wifi y Consumos funcionando.
SIN COMISIONES. ENTRADA INMEDIATA. TOTALMENTE EQUIPADO, Toallas, Sábanas y todos Menaje y Electrodomésticos. !
3 dorm más 1 baño, amplio salón comedor. Aire Acondicionado/Wifi.
Súper luminoso.
¡Bienvenido a nuestr
"
7,"
Piso en calle de Ayala, Goya, Madrid
",3.800€/mes,111 m²,Planta 3ª exterior con ascensor,2 hab.,"
Vivienda de lujo a estrenar para alquilar por temporadas completamente amueblada, se puede alquilar a partir de dos meses y maximo de 11 meses. Dos dormitorios en suite, dos terracitas, salón-comedor con cocina integrada y baño de cortesia. La vivienda da a un silenciosos jardín que inunda de luz el
"
8,"
Piso en calle de Embajadores, 91, Delicias, Madrid
",1.050€/mes,45 m²,Planta 4ª interior con ascensor,2 hab.,"
¡NO INMOBILIARIAS! ALQUILA DIRECTAMENTE LA PROPIEDAD. SOLO SE ATIENDE MEDIANTE LLAMADA TELEFONICA: Apartamento reformado, dentro de la M-30, en una de las zonas más céntricas de Madrid, en pleno Barrio de Arganzuela, junto a la Glorieta de Santa Mª de la Cabeza, totalmente reformado y amueblado, sit
"
9,"
Piso en calle de Bolivia, Bernabéu-Hispanoamérica, Madrid
",1.550€/mes,122 m²,Bajo interior con ascensor,2 hab.,"
Servicheck alquila FABULOSO PISO EN LA MEJOR ZONA DE MADRID
Para visitar contactar con Marcelo Sacolle +34_602_251_042, también se atiende por WhatsApp.
Para visitas digitales pinchar en el icono 3D.
Vivienda única y especial en calle Bolivia en el exclusivo barrio de Bernabeu Hispanoamérica.
I
"
10,"
Piso en calle de Écija, 7, Argüelles, Madrid
",3.250€/mes,158 m²,Planta 2ª exterior con ascensor,3 hab.,"
Exclusiva vivienda con reforma integral recién realizada.
* Magnífica ubicación: en una calle tranquila y arbolada, semiesquina al Paseo de Pintor Rosales y a escasos metros del Parque del Oeste. Muy próxima a la zona comercial de Princesa / Alberto Aguilera.
* Optimizada para un consumo energéti
"
11,"
Dúplex en calle San Martín de Porres, Ciudad Universitaria, Madrid
",1.250€/mes,50 m²,Bajo exterior sin ascensor,1 hab.,"
SERVICHECK ALQUILA PRECIOSO PISO EN CIUDAD UNIVERSITARIA
Estancia temporal mínimo 6 meses, máximo 11.
Para visitas y más información contactar con Ronaldo Lozano al 602_251_040 (también WhatsApp).
Se alquila hermoso piso de 50 Mts distribuido así:
1 Dormitorio
Baño completo
Salón - comedor
Cocin
"
12,"
Estudio en calle de Agustina de Aragón, Lista, Madrid
",850€/mes,Planta 4ª interior con ascensor,1 hora,30 m²,"
FIAG Asesores pone a su disposición precioso estudio totalmente reformado y muy luminoso en el barrio de Salamanca.
El piso consta de cocina independiente, salón/habitación tipo estudio y un amplio cuarto de baño. Se entrega recién pintado y sin amueblar. La finca dispone de piscina, ascensor y cal
"
13,"
Piso en calle de Núñez de Balboa, Recoletos, Madrid
",3.868€/mes,133 m²,Planta 5ª exterior con ascensor,3 hab.,"
Servicheck Alquila Piso en Madrid!
Disponible el 4 de junio
Gastos incluidos en el precio para tres personas.
Alquiler por temporada mínimo 6 meses, máximo 11
Para mas información y visitas contactar con Diana Trujillo al 692_904_114 (También se atiende por WhatsApp)
Se alquila piso de 107 Mts
"
14,"
Estudio en calle del Doctor Esquerdo, 47, Fuente del Berro, Madrid
",1.000€/mes,Planta 4ª exterior con ascensor,1 hora,37 m²,"
Apartamento muy luminoso y tranquilo, con dos balcones y aire acondicionado.
Muy bien comunicado con metro y autobuses a 20 metros del portal.
Edificio con conserje.
"
15,"
Piso en calle de Mauricio Legendre, Castilla, Madrid
",2.948€/mes,117 m²,Planta 8ª exterior con ascensor,3 hab.,"
Servicheck Alquila Piso Temporal en Madrid!
Disponible desde el 4 de junio!
Para mayor información y visitas contactar con Diana Trujillo al 692_904_114 (también se atiende por WhatsApp)
Solo temporales, mínimo de 5 meses, máximo de 11 - Valor con todo incluido para 3 personas!
Se alquila hermos
"
16,"
Piso en José María de Castro, 1, Cuatro Caminos, Madrid
",950€/mes,35 m²,Planta 3ª interior sin ascensor,1 hab.,"
Se Alquila Temporalmente por días, semanas, quincena o meses. Disponible a partir del 10 diciembre Consultar precio. Apartamento amueblado con vajilla y ropa de cama. Zona Azca Av. General Perón. Salon-comedor con Sofá cama, 1 dormitorio cama 135 y armario empotrado, cocina independiente y baño con
"
17,"
Piso en calle del Cerro del Monte, 1, El Cañaveral, Madrid
",947€/mes,95 m²,Bajo exterior con ascensor,2 hab.,"
DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. ACREDITAR.


VIVIENDA DESTINADA A PERSONAS CON DISCAPACIDAD IGUAL O SUPERIOR AL 33%. DEBERAN ACREDITAR MEDIANTE CERTIFICADO O CARNET.
Y AHORA ALQUILANDO CON NESTAR, LLÉVATE UN 5% DE DESCUENTO EN IKEA EN EL AMUEBLAMIENTO DE TU NUEVA CASA.
Promoción válida para compra superiores a 80€ no incluidos servicios.
Te
"
18,"
Piso en calle cachero, 18, San Diego, Madrid
",900€/mes,60 m²,Planta 2ª exterior sin ascensor,2 hab.,"
Bonito piso totalmente reformado. Con dos dormitorios dobles muy amplios. Armarios empotrados, aire acondicionado y calefacción (radiadores de gas natural). Exterior. Con dos armarios enormes en dos altillos. Muy buena distribución y localización. Cocina muy grande totalmente amueblada, con todos lo
"
19,"
Estudio en calle de Irún, s/n, Casa de Campo, Madrid
",1.750€/mes,Planta 3ª exterior con ascensor,,40 m²,"
Precioso estudio de 35 metros cuadrados a estrenar. El condominio dispone de piscina, gimnasio, cuarto de bicis, lobby para dejar paquetería, vigilancia 24h.
Situado en la calle Irún, junto al parque de Rosales, Palacio Real y Estación de Principe Pío podrás encontrar este precioso y completamente
"
20,"
Piso en calle de Géminis, 20, Casco Histórico de Barajas, Madrid
",1.200€/mes,73 m²,Planta 2ª exterior con ascensor,2 hab.,"
Estupenda vivienda de OBRA NUEVA a estrenar! ubicación privilegiada en Barajas, en pleno casco antiguo se encuentra el complejo residencial con 58 viviendas. Vivienda 70 metros cuadrados, EXTERIOR en segunda planta. Consta de salón, 2 dormitorios, 2 baños completos con ducha y mueble en lavabo, coci
"
21,"
Piso en La Paz, Madrid
",1.150€/mes,82 m²,Planta 1ª exterior con ascensor,2 hab.,"
Alquiler de temporada
SERVICHECK ALQUILA
Magnifico piso exterior de 82 m2 construidos, primera planta exterior con ascensor.
Muy luminoso y con vistas despejadas al parque.
Distribución:
Salón comedor con armarios empotrados, dos dormitorios con amplios armarios empotrados.
Uno de los dormito
"
22,"
Piso en avenida del Ensanche de Vallecas, Ensanche de Vallecas - La Gavia, Madrid
",990€/mes,80 m²,Planta 6ª exterior con ascensor,2 hab.,"
Magnífico piso de 80m2. Consta de 2 dormitorios (principal en suite), amplio salón comedor independiente, cocina amueblada y equipada con tendedero, 2 baños completos, armarios empotrados en todas las estancias, aire acondicionado y calefacción individual de Gas Natural. El inmueble se entrega recié
"
23,"
Piso en calle de Los Mesejo, Adelfas, Madrid
",1.200€/mes,85 m²,Planta 1ª exterior con ascensor,3 hab.,"
¡SERVICHECK ALQUILA PISO EN MADRID!
Para más información y visitas, preguntar por Esther Gil al 602_250_276 (También se atiende por WhatsApp)
Este piso de 93 mts en la zona del Retiro se distribuye de la siguiente manera:
- Tres habitaciones con ventanas.
- Un baño con plato de ducha.
- Un sal
"
24,"
Piso en calle Paca Díaz, 8, Aravaca, Madrid
",990€/mes,68 m²,Planta 1ª exterior sin ascensor,2 hab.,"
Es orientación Este (cocina y salón) orientación Oeste (las habitaciones). Entra mucha luz y se mantiene con buena temperatura. Además, tiene una casa baja en frente, lo que le da buena ventilación.
Piso con mucha luz y AMUEBLADO
2 habitaciones, ambas con ventiladores de techo y armarios empotrados
"
25,"
Piso en calle de Mauricio Legendre, Castilla, Madrid
",1.450€/mes,104 m²,Planta 6ª exterior con ascensor,4 hab.,"
¡SERVICHECK ALQUILA!
APARTAMENTO DE CUATROS DORMITORIOS
Contactar a Johana Por llamadas o por whatssApp.
""Maravilloso piso Amueblado, 4 dormitorios, 2 baños completos, cocina con tendedero. Electrodomésticos. Suelo parquet. Caja de seguridad. 4 armarios empotrados.
Fachada exterior a Pº Castellan
"
26,"
Piso en calle de Géminis, 20, Casco Histórico de Barajas, Madrid
",950€/mes,55 m²,Planta 2ª exterior con ascensor,1 hab.,"
Estupenda vivienda de OBRA NUEVA a estrenar! ubicación privilegiada en Barajas, en pleno casco antiguo se encuentra el complejo residencial con 58 viviendas. Vivienda 50 metros cuadrados, EXTERIOR en segunda planta. Consta de salón, 1 dormitorio, 1 baño completo con ducha y mueble en lavabo, cocina
"
27,"
Piso en calle Colmenares, 5, Chueca-Justicia, Madrid
",3.750€/mes,140 m²,Planta 1ª exterior con ascensor,2 hab.,"
El inmueble se encuentra enclavado en el barrio Justicia del distrito Centro. Es el barrio de moda de Madrid en donde se podrá encontrar nuevos restaurantes, las tiendas y hoteles más vanguardistas de la ciudad. Se trata de un barrio que conserva la arquitectura típica de la ciudad, caracterizado po
"
28,"
Piso en calle De Santa Engracia, Almagro, Madrid
",2.600€/mes,130 m²,Planta 4ª exterior con ascensor,3 hab.,"
Foresyco alquila, extraordinario piso de tres dormitorios y dos baños en zona chamberi recien reformado.
Zona con todos los servicios y magnificas comunicaciones.
Exterior en todas sus habitaciones con mucha luz t balcones en todas las estancias.
Sin ruido todos los balcones t sus ventanas y puertas
"
29,"
Piso en Principe de Vergara, s/n, Goya, Madrid
",5.600€/mes,162 m²,Planta 5ª exterior con ascensor,4 hab.,"
Se alquila un apartamento exterior de 160 metros cuadrados ubicado en la prestigiosa calle Príncipe de Vergara, en las proximidades de Retiro, Serrano y Jorge Juan.
El apartamento consta de un amplio salón-comedor, una cocina independiente, 4 dormitorios y 3 baños. Tres de los dormitorios cuentan c
"
