ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"34.120.118.219","elite","AS396982","US","Google LLC","2","Google Cloud","2061","socks5","3505","1","2023-10-16T20:47:45.580Z","100","4303","4303"
"116.118.98.9","elite","AS7602","VN","SPT","385","N/A","5678","socks4","5097","1","2023-10-16T20:47:45.579Z","96","4211","4405"
"88.135.42.126","elite","AS57391","IR","Laser Company Ltd","97","Laser IDC","4145","socks4","4401","1","2023-10-16T20:47:33.379Z","32","1378","4255"
"185.171.55.162","elite","AS44285","IR","Shahrad Network","92","N/A","4153","socks4","4714","1","2023-10-16T20:47:33.380Z","95","4211","4413"
"51.83.140.70","elite","AS16276","PL","OVH SAS","89","OVH Sp. z o. o","8181","socks5","3784","1","2023-10-16T20:47:33.377Z","100","4448","4451"
"144.202.21.190","elite","AS20473","US","The Constant Company","294","Vultr Holdings, LLC","10884","socks4","1788","1","2023-10-16T20:47:33.380Z","76","3256","4310"
"168.227.158.33","elite","AS52898","BR","Multipla Serviços Inteligentes","203","Multipla Serviços Inteligentes","4145","socks4","4911","1","2023-10-16T20:47:21.979Z","100","4418","4439"
"119.18.145.147","elite","AS45326","BD","BBTS Network","176","N/A","45326","socks5","5298","1","2023-10-16T20:47:21.982Z","100","4343","4363"
"192.12.113.247","elite","AS61942","BR","Turbonet Telecom Ltda","186","Turbonet Telecom Ltda","4145","socks4","3901","1","2023-10-16T20:47:21.982Z","39","1718","4405"
"44.190.9.50","elite","AS15102","CA","Corridor Communications, INC.","182","Amateur Radio Digital Communications","48100","socks4","5198","1","2023-10-16T20:47:21.983Z","99","4240","4267"
"182.253.159.142","elite","AS17451","ID","BIZNET","187","N/A","1080","socks4","4085","1","2023-10-16T20:47:21.980Z","96","4188","4346"
"5.202.120.214","elite","AS49100","IR","Pishgaman Toseeh Ertebatat Company (Private Joint Stock)","96","PTE","5678","socks5","3311","1","2023-10-16T20:47:10.787Z","36","1536","4306"
"211.144.20.13","elite","AS4808","CN","China Unicom Beijing Province Network","168","Bgtelecom","8080","socks4","4487","1","2023-10-16T20:47:10.786Z","87","3730","4302"
"103.58.74.2","elite","AS134204","BD","BUSINESSNETWORK","197","N/A","8080","socks4","4304","1","2023-10-16T20:47:10.785Z","97","4294","4426"
"203.28.9.107","elite","AS209242","CY","Cloudflare London, LLC","11","Lachtaristo Holdings Limited","80","socks5","4490","82","2023-10-16T20:47:10.783Z","100","4427","4428"
"35.180.201.66","elite","AS16509","FR","Amazon Technologies Inc.","2","AWS EC2 (eu-west-3)","3128","socks4","3703","1","2023-10-16T20:47:10.787Z","100","4423","4423"
"46.101.159.7","elite","AS14061","DE","DigitalOcean, LLC","30","Digital Ocean","31162","socks4","4100","1","2023-10-16T20:47:10.881Z","81","3543","4362"
"103.51.47.9","elite","AS133819","ID","CIM","220","N/A","4145","socks4","4008","1","2023-10-16T20:47:10.784Z","99","4341","4381"
"24.125.77.113","elite","AS7725","US","Comcast Cable Communications, LLC","106","Comcast Cable Communications Holdings, Inc","55539","socks4","5101","1","2023-10-16T20:47:10.786Z","97","4343","4466"
"145.239.81.129","elite","AS16276","PL","OVH SAS","32","OVH Sp. z o. o","8008","socks4","3996","1","2023-10-16T20:46:59.588Z","100","4379","4379"
"54.38.81.12","elite","AS16276","FR","OVH SAS","72","OVH","46553","socks4","4400","79","2023-10-16T20:46:59.587Z","56","2417","4354"
"183.88.214.58","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","5678","socks4","4899","1","2023-10-16T20:46:59.492Z","82","3613","4412"
"74.95.1.114","elite","AS33651","US","Comcast Cable Communications","198","Budget INN SAN Leandro","33108","socks4","4591","2","2023-10-16T20:46:59.491Z","99","4309","4366"
"104.16.241.204","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5011","1","2023-10-16T20:46:48.075Z","100","4314","4315"
"177.131.29.214","elite","AS262378","BR","Compuservice Empreendimentos Ltda","297","Compuservice Empreendimentos Ltda","4153","socks4","4511","1","2023-10-16T20:46:48.078Z","99","4262","4309"
"43.129.210.41","elite","AS132203","HK","Aceville Pte.ltd","249","N/A","10809","socks5","4705","84","2023-10-16T20:46:48.077Z","99","4377","4408"
"49.12.225.148","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner","10001","socks4","3099","1","2023-10-16T20:46:48.076Z","85","3694","4328"
"27.72.145.184","elite","AS7552","VN","Newass2011xDSLHN","391","N/A","5678","socks4","5097","1","2023-10-16T20:46:48.076Z","99","4360","4392"
"134.236.30.92","elite","AS131090","TH","CAT-BB","296","N/A","5678","socks4","4506","1","2023-10-16T20:46:48.074Z","59","2584","4369"
"177.38.5.234","elite","AS52964","BR","FÁBIO MENDES DIAS LTDA ME","295","FÁBIO MENDES DIAS LTDA ME","4153","socks4","3702","1","2023-10-16T20:46:36.283Z","97","4182","4319"
"124.167.249.234","elite","AS4837","CN","CNC Group CHINA169 Shan1xi Province Network","283","N/A","4837","socks5","4697","1","2023-10-16T20:46:24.482Z","85","3775","4436"
"185.92.222.127","elite","AS20473","NL","The Constant Company, LLC","11","Vultr Holdings LLC Amsterdam","9100","socks5","4796","82","2023-10-16T20:46:24.482Z","100","4422","4423"
"150.107.207.137","elite","AS58504","NP","Techminds Network Pvt. Ltd","230","N/A","57230","socks4","5095","1","2023-10-16T20:46:24.484Z","98","4338","4421"
"69.163.252.140","elite","AS26347","US","New Dream Network, LLC","204","New Dream Network, LLC","10754","socks4","5196","1","2023-10-16T20:46:24.484Z","100","4417","4419"
"43.154.49.67","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","284","Tencent Cloud Computing","9999","socks5","4997","1","2023-10-16T20:46:24.483Z","99","4252","4281"
"47.243.95.228","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","246","Alibaba.com LLC","10080","socks5","5004","79","2023-10-16T20:46:12.894Z","99","4246","4286"
"103.207.98.82","elite","AS134643","ID","JKSNET","201","N/A","41238","socks4","4805","1","2023-10-16T20:46:12.895Z","98","4305","4388"
"43.153.52.178","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","196","Tencent Cloud Computing","443","socks5","3193","1","2023-10-16T20:46:12.976Z","62","2722","4398"
"217.150.40.189","elite","AS20485","RU","TRANS-TELECOM","73","N/A","3128","socks4","1507","1","2023-10-16T20:46:12.976Z","99","4303","4347"
"190.0.22.38","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","153","EPM Telecomunicaciones S.A. E.S.P","61155","socks4","4409","1","2023-10-16T20:46:01.487Z","99","4378","4418"
"103.59.190.2","elite","AS58678","IN","Flash Broadband Pvt Ltd","200","Flash Broadband Pvt Ltd","56252","socks4","4906","79","2023-10-16T20:46:01.489Z","99","4325","4356"
"186.46.166.50","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","193","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","5002","2","2023-10-16T20:46:01.490Z","95","4144","4367"
"187.94.211.15","elite","AS53078","BR","Acesse Comunicação Ltda","184","Acesse Comunicação Ltda","2580","socks5","4802","1","2023-10-16T20:45:50.485Z","91","3968","4362"
"203.32.121.157","elite","AS209242","VG","Cloudflare London, LLC","98","Anaga Consulting Limited","80","socks4","4698","2","2023-10-16T20:45:50.483Z","100","4387","4388"
"103.66.232.5","elite","AS134014","IN","NET 4 U SERVICES","199","N/A","4145","socks4","4897","1","2023-10-16T20:45:50.484Z","99","4309","4353"
"186.251.254.253","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","212","Seanet Telecom Carazinho Eireli","31337","socks4","4907","1","2023-10-16T20:45:50.485Z","100","4382","4395"
"134.119.221.137","elite","AS29066","FR","Host Europe GmbH","10","Bogdan Gribov","14126","socks5","4103","1","2023-10-16T20:45:39.188Z","100","4347","4354"
"119.81.194.52","elite","AS36351","SG","SoftLayer","168","Long Tech Network Limited","12315","socks4","443","1","2023-10-16T20:45:39.092Z","100","4349","4350"
"139.162.100.214","elite","AS63949","JP","Akamai Technologies, Inc.","300","Linode, LLC","18199","socks4","4095","1","2023-10-16T20:45:39.095Z","99","4278","4330"
"170.81.141.49","elite","AS28418","MX","Nueva RED Internet De Mexico S De RL De CV","197","Nueva RED Internet De Mexico S De RL De CV","61437","socks4","4597","1","2023-10-16T20:45:39.094Z","99","4313","4353"
"202.40.188.201","elite","AS23991","BD","Ranks ITT","163","Ranks ITT Ltd.","4145","socks4","5004","1","2023-10-16T20:45:27.587Z","100","4426","4445"
"177.38.244.1","elite","AS52974","BR","Henet Telecomunicacoes Ltda","283","Lourivaldo Freitas Santos","5678","socks4","3613","1","2023-10-16T20:45:27.590Z","100","4326","4343"
"223.155.121.75","elite","AS4134","CN","Chinanet","286","Chinanet HN","3128","socks4","4886","2","2023-10-16T20:45:27.589Z","82","3643","4425"
"202.159.30.153","elite","AS9340","ID","PT IndoInternet","186","N/A","443","socks4","5091","1","2023-10-16T20:45:27.586Z","100","4337","4356"
"148.72.210.73","elite","AS26496","SG","GoDaddy.com, LLC","244","GoDaddy.com, LLC","23202","socks5","4788","1","2023-10-16T20:45:16.182Z","100","4339","4352"
"105.234.156.108","elite","AS37440","MW","Airtel Malawi","209","N/A","4145","socks4","4699","1","2023-10-16T20:45:16.182Z","94","4073","4314"
"15.235.141.35","elite","AS16276","SG","OVH SAS","193","OVH Singapore PTE. LTD","51921","socks4","4704","1","2023-10-16T20:45:16.185Z","92","3937","4281"
"162.241.114.39","elite","AS19871","US","Network Solutions, LLC","95","Unified Layer","10249","socks4","4714","1","2023-10-16T20:45:16.277Z","96","4149","4310"
"185.169.181.19","elite","AS34984","TR","Ates Dc","58","Ibrahim MALA trading as Ates Dc","4145","socks4","5001","2","2023-10-16T20:45:16.182Z","100","4403","4403"
"69.163.162.253","elite","AS26347","US","New Dream Network, LLC","183","New Dream Network, LLC","20676","socks5","4505","1","2023-10-16T20:45:16.186Z","100","4345","4349"
"110.77.232.172","elite","AS131090","TH","CAT Telecom Public Company Limited","294","CAT BBviaOnnet","4145","socks4","4491","1","2023-10-16T20:45:16.186Z","87","3840","4407"
"179.107.61.23","elite","AS262346","BR","FP Telecomunicacoes Ltda","212","FP Telecomunicacoes Ltda","4145","socks4","4896","1","2023-10-16T20:45:03.790Z","79","3403","4281"
"222.129.37.88","elite","AS4808","CN","China Unicom Beijing Province Network","162","N/A","57114","socks4","4901","1","2023-10-16T20:45:03.792Z","55","2369","4293"
"216.105.130.33","elite","AS20081","US","NET2ATLANTA.COM LLC","102","NET2ATLANTA.COM LLC","39593","socks4","2005","80","2023-10-16T20:45:03.792Z","100","4449","4458"
"37.186.125.202","elite","AS49800","AM","GNC-Alfa CJSC","73","GNC","5678","socks4","4788","78","2023-10-16T20:45:03.790Z","100","4389","4401"
"115.159.56.148","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","202","Tencent cloud computing (Beijing) Co., Ltd.","2080","socks4","5192","1","2023-10-16T20:45:03.792Z","85","3650","4291"
"218.1.142.144","elite","AS4812","CN","China Telecom","189","N/A","57114","socks4","5002","2","2023-10-16T20:44:52.581Z","23","1027","4376"
"175.6.140.135","elite","AS63835","CN","No.293, Wanbao Avenue","283","Chinanet HN","38801","socks5","4597","1","2023-10-16T20:44:52.584Z","83","3677","4420"
"36.90.61.224","elite","AS7713","ID","PT. Telekomunikasi Indonesia","284","Telekomunikasi Indonesia","4145","socks4","4783","1","2023-10-16T20:44:52.583Z","63","2767","4383"
"103.137.108.86","elite","AS138023","BD","Creation Online","195","Creation Online","5678","socks5","4711","1","2023-10-16T20:44:41.089Z","87","3818","4403"
"101.51.104.182","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","3117","1","2023-10-16T20:44:41.176Z","55","2344","4232"
"64.90.52.19","elite","AS26347","US","New Dream Network, LLC","151","New Dream Network, LLC","55552","socks4","4713","1","2023-10-16T20:44:41.175Z","100","4380","4383"
"51.91.20.19","elite","AS16276","FR","OVH SAS","6","OVH","21907","socks5","5095","1","2023-10-16T20:44:41.189Z","100","4331","4331"
"43.153.90.161","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","443","socks4","4885","1","2023-10-16T20:44:41.177Z","83","3600","4334"
"110.78.148.87","elite","AS131090","TH","CAT-BB","264","N/A","4145","socks4","117","1","2023-10-16T20:44:41.090Z","74","3254","4376"
"51.255.219.244","elite","AS16276","FR","OVH SAS","89","berdin stephane","7497","socks5","4898","1","2023-10-16T20:44:41.189Z","100","4378","4381"
"112.215.33.114","elite","AS17885","ID","XL-AXIATA Tbk GSM","191","N/A","3629","socks4","5092","1","2023-10-16T20:44:30.176Z","98","4262","4354"
"189.201.191.17","elite","AS28438","MX","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.","193","ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V","4145","socks4","4515","80","2023-10-16T20:44:30.095Z","99","4373","4406"
"87.250.109.174","elite","AS35567","BA","DASTO Semtel doo","52","N/A","8080","socks4","5103","1","2023-10-16T20:44:30.185Z","99","4277","4332"
"185.22.31.227","elite","AS50810","IR","Mobin Net Communication Company (Private Joint Stock)","140","Mobin Net Communication Company (Private Joint Stock)","4153","socks4","3906","1","2023-10-16T20:44:30.175Z","98","4379","4446"
"164.163.32.3","elite","AS265958","BR","Real Telecom Eireli ME - ME","197","Real Telecom Eireli ME - ME","7497","socks5","4802","1","2023-10-16T20:44:30.177Z","96","4233","4409"
"95.38.78.133","elite","AS41881","IR","Fanava Group","193","Fanava Group","5678","socks4","5101","1","2023-10-16T20:44:30.174Z","70","3007","4324"
"176.123.56.58","elite","AS50396","RU","LLC Format-center","97","LLC Format-center","3629","socks4","4816","1","2023-10-16T20:44:30.176Z","99","4407","4444"
"202.50.202.65","elite","AS55696","ID","PT Starcom Solusindo","199","N/A","48617","socks4","5010","1","2023-10-16T20:44:18.689Z","99","4255","4280"
"45.8.104.168","elite","AS209242","DE","Cloudflare London, LLC","79","Araxio Development N.V","80","socks4","3811","1","2023-10-16T20:44:18.774Z","100","4373","4373"
"139.162.132.243","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode, LLC","59387","socks4","2802","1","2023-10-16T20:44:18.879Z","85","3724","4379"
"143.92.56.162","elite","AS64050","HK","CTG Server Ltd","249","CTG Server Ltd.","39500","socks4","4302","1","2023-10-16T20:44:18.687Z","40","1694","4287"
"88.135.44.219","elite","AS57391","IR","Laser Company Ltd","99","Laser Company Ltd","4153","socks4","4599","1","2023-10-16T20:44:07.288Z","87","3749","4298"
"45.12.31.140","elite","AS209242","GB","Cloudflare London, LLC","84","LIR Services","80","socks4","1613","1","2023-10-16T20:44:07.278Z","100","4349","4349"
"143.137.99.202","elite","AS265693","CO","Caldas Data Company LTDA","182","Caldas Data Company LTDA","5678","socks4","4595","1","2023-10-16T20:44:07.277Z","99","4395","4426"
"180.94.64.58","elite","AS55330","AF","Cafe-AFGHANTELECOM","135","N/A","5678","socks4","399","1","2023-10-16T20:44:07.275Z","99","4301","4346"
"203.192.199.238","elite","AS17665","IN","Entire In2Cable","169","Indusind Media And Communication Ltd.","5678","socks4","1895","1","2023-10-16T20:44:07.190Z","98","4369","4441"
"202.107.74.24","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","195","N/A","7312","socks5","2888","80","2023-10-16T20:44:07.189Z","82","3634","4431"
"14.207.24.72","elite","AS45629","TH","Triple T Broadband Public Company Limited","207","Triple T Broadband Public Company Limited","8080","socks5","4792","1","2023-10-16T20:44:07.276Z","89","3885","4359"
"69.163.160.197","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","1645","socks4","5104","1","2023-10-16T20:43:56.077Z","100","4406","4407"
"51.195.209.238","elite","AS16276","GB","OVH SAS","80","Canya Eric","1080","socks5","4715","1","2023-10-16T20:43:56.078Z","91","4000","4411"
"43.134.204.249","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","281","Tencent Cloud Computing","33126","socks4","1525","1","2023-10-16T20:43:56.077Z","98","4293","4383"
"62.122.205.135","elite","AS49125","UA","Uteam LTD","42","Uteam LTD","3629","socks4","4697","83","2023-10-16T20:43:56.075Z","67","2953","4425"
"193.56.118.1","elite","AS200370","IR","Farzanegan Pars Communications Company PJS","98","Farzanegan Pars Communications Company PJS","1080","socks4","4512","1","2023-10-16T20:43:56.079Z","99","4294","4336"
"47.98.151.6","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","234","Aliyun Computing Co., LTD","16144","socks5","4011","1","2023-10-16T20:43:55.991Z","85","3714","4367"
"41.60.232.18","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","177","Liquid Telecommunications Operations Limited","5678","socks4","4707","1","2023-10-16T20:43:44.688Z","83","3701","4442"
"98.111.251.101","elite","AS701","US","Verizon Business","89","Verizon Business","1585","socks4","4601","1","2023-10-16T20:43:44.692Z","98","4227","4297"
"112.250.211.161","elite","AS4837","CN","China Unicom CHINA169 Shandong Province Network","179","N/A","38801","socks4","4104","1","2023-10-16T20:43:44.686Z","84","3617","4281"
"179.191.23.38","elite","AS52565","BR","Edgar Rodrigues Romao Filho ME","159","Edgar Rodrigues Romao Filho ME","5678","socks4","5012","1","2023-10-16T20:43:33.277Z","100","4333","4354"
"94.74.121.234","elite","AS136907","HK","Huawei International Pte. LTD","304","N/A","1080","socks5","3101","1","2023-10-16T20:43:33.276Z","19","832","4393"
"103.10.97.154","elite","AS18103","ID","Neuviz","174","N/A","4153","socks4","1988","1","2023-10-16T20:43:33.276Z","97","4141","4283"
"103.89.62.21","elite","AS58972","IN","Bhomika Network PVT LTD","189","Bhomika Network Pvt Ltd","4153","socks4","4904","1","2023-10-16T20:43:33.278Z","99","4378","4410"
"58.21.70.44","elite","AS4837","CN","CNC Group CHINA169 Jilin Province Network","288","N/A","44844","socks4","1588","1","2023-10-16T20:43:21.988Z","63","2734","4350"
"172.67.209.12","elite","AS13335","CA","Cloudflare, Inc.","9","Cloudflare, Inc.","80","socks5","5099","1","2023-10-16T20:43:10.586Z","100","4307","4307"
"185.2.100.85","elite","AS51167","DE","Contabo GmbH","41","Contabo GmbH","40826","socks4","3189","1","2023-10-16T20:43:10.684Z","100","4330","4332"
"190.15.247.231","elite","AS27881","AR","Ipnext S.A.","285","Ipnext S.A","5678","socks4","4698","1","2023-10-16T20:43:10.590Z","43","1890","4395"
"172.67.181.234","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5188","1","2023-10-16T20:43:10.587Z","100","4302","4303"
"202.159.30.81","elite","AS9340","ID","PT IndoInternet","172","N/A","443","socks4","3695","1","2023-10-16T20:43:10.589Z","100","4253","4274"
